INPUT:
start: 2010-01-01
factor: ['pb']
weightType: 1
factor_direction: [1]
end: 2011 -01-01
n: 10
path: D:\strategy\GDP\GD.db
hedgemethod: 1
industry_neutral: 0
backperiod: 20
positionType: 2

OUTPUT:
	time	stkcd	weight
4	2010-04-14	600875	0.09131928397765668
5	2010-04-14	601607	0.16321208589168015
6	2010-04-14	600812	0.09596972421015428
7	2010-04-14	601099	0.0735614730427599
8	2010-04-14	600547	0.07910637288081833
9	2010-04-14	600816	0.15101756849194803
0	2010-04-15	600276	0.07587508912650326
1	2010-04-15	000568	0.08425133472941679
2	2010-04-15	600161	0.08105228983948842
3	2010-04-15	002038	0.10463477780957428
4	2010-04-15	600875	0.09131928397765668
5	2010-04-15	601607	0.16321208589168015
6	2010-04-15	600812	0.09596972421015428
7	2010-04-15	601099	0.0735614730427599
8	2010-04-15	600547	0.07910637288081833
9	2010-04-15	600816	0.15101756849194803
0	2010-04-16	600276	0.07587508912650326
1	2010-04-16	000568	0.08425133472941679
2	2010-04-16	600161	0.08105228983948842
3	2010-04-16	002038	0.10463477780957428
4	2010-04-16	600875	0.09131928397765668
5	2010-04-16	601607	0.16321208589168015
6	2010-04-16	600812	0.09596972421015428
7	2010-04-16	601099	0.0735614730427599
8	2010-04-16	600547	0.07910637288081833
9	2010-04-16	600816	0.15101756849194803
0	2010-04-19	600276	0.07587508912650326
1	2010-04-19	000568	0.08425133472941679
2	2010-04-19	600161	0.08105228983948842
3	2010-04-19	002038	0.10463477780957428
4	2010-04-19	600875	0.09131928397765668
5	2010-04-19	601607	0.16321208589168015
6	2010-04-19	600812	0.09596972421015428
7	2010-04-19	601099	0.0735614730427599
8	2010-04-19	600547	0.07910637288081833
9	2010-04-19	600816	0.15101756849194803
0	2010-04-20	600276	0.07587508912650326
1	2010-04-20	000568	0.08425133472941679
2	2010-04-20	600161	0.08105228983948842
3	2010-04-20	002038	0.10463477780957428
4	2010-04-20	600875	0.09131928397765668
5	2010-04-20	601607	0.16321208589168015
6	2010-04-20	600812	0.09596972421015428
7	2010-04-20	601099	0.0735614730427599
8	2010-04-20	600547	0.07910637288081833
9	2010-04-20	600816	0.15101756849194803
0	2010-04-21	600276	0.07587508912650326
1	2010-04-21	000568	0.08425133472941679
2	2010-04-21	600161	0.08105228983948842
3	2010-04-21	002038	0.10463477780957428
4	2010-04-21	600875	0.09131928397765668
5	2010-04-21	601607	0.16321208589168015
6	2010-04-21	600812	0.09596972421015428
7	2010-04-21	601099	0.0735614730427599
8	2010-04-21	600547	0.07910637288081833
9	2010-04-21	600816	0.15101756849194803
0	2010-04-22	600276	0.07587508912650326
1	2010-04-22	000568	0.08425133472941679
2	2010-04-22	600161	0.08105228983948842
3	2010-04-22	002038	0.10463477780957428
4	2010-04-22	600875	0.09131928397765668
5	2010-04-22	601607	0.16321208589168015
6	2010-04-22	600812	0.09596972421015428
7	2010-04-22	601099	0.0735614730427599
8	2010-04-22	600547	0.07910637288081833
9	2010-04-22	600816	0.15101756849194803
0	2010-04-23	600276	0.07587508912650326
1	2010-04-23	000568	0.08425133472941679
2	2010-04-23	600161	0.08105228983948842
3	2010-04-23	002038	0.10463477780957428
4	2010-04-23	600875	0.09131928397765668
5	2010-04-23	601607	0.16321208589168015
6	2010-04-23	600812	0.09596972421015428
